Lozinka,Spol,Godina rodjenja,Materinski jezik,Fakultet,Godina studija,Navedite dob (u godinama starosti) početka izloženosti engleskom jeziku,Navedite dob (u godinama starosti) u kojoj ste počeli učiti engleski jezik,Odaberite tvrdnju koja najbolje opisuje Vaše znanje engleskog jezika,Procijenite ukupno vrijeme koje provodite služeći se engleskim jezikom,Lextale_acc
S3,M,2004,hrvatski,pomorski,1.,6,7,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.7301587301587301
06,Z,2003,Hrvatski,Pomorski fakultet Rijeka,1.,5,7,Mogu razmjerno tečno i spontano komunicirati,1h,0.6190476190476191
04,M,2001,hrvatski,Pomorski fakultet Rijeka,1.,7,7,Mogu samostalno koristiti jezik u većini situacija,1h,0.7936507936507936
S22,M,2004,hrvatski,pomorski,1.,5,6,Mogu samostalno koristiti jezik u većini situacija,3h,0.7301587301587301
27,M,2003,Hrvatski,Pomorski fakultet Rijeka,1.,3,7,Bez teškoća razumijem i koristim jezik različitih stilova,3h,0.7301587301587301
03,Z,2003,hrvatski,Pomorski fakultet Rijeka,1.,6,6,Mogu samostalno koristiti jezik u većini situacija,≥5h,0.6349206349206349
S2,Z,2002,hrvatski,pomorski,1.,5.,7,Mogu prepoznati i koristiti jednostavne jezične strukture vezane uz meni poznate teme,3h,0.5396825396825397
S1MA73MĆ,M,2001,hrvatski,pomorski,1.,5.,6.,Mogu razmjerno tečno i spontano komunicirati,2h,0.8095238095238095
S10,M,2002,hrvatski,pomorski,2.,2,5,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.8888888888888888
S24,M,2002,hrvatski,pomorski,1.,5,6,Mogu samostalno koristiti jezik u većini situacija,3h,0.6349206349206349
11,M,2004,hrvatski,Pomorski fakultet Rijeka,1.,7,7,Mogu samostalno koristiti jezik u većini situacija,4h,0.4603174603174603
S9,M,2003,hrvatski,pomorski,1.,4,6.,Mogu samostalno koristiti jezik u većini situacija,1h,0.5555555555555556
S27,M,2003,hrvatski,pomorski,1.,4,7,Mogu samostalno koristiti jezik u većini situacija,3h,0.6031746031746031
23,M,2003,češki,Pomorski fakultet Rijeka,1.,6.,8,Mogu samostalno koristiti jezik u većini situacija,3h,0.6190476190476191
