Subject,Response.RT,Trigger,Response.ACC,Language,Stimulus,Equivalent
16,181,7,1,Cro,škola,fill
16,398,5,1,Cro,nogometaš,fill
16,192,3,1,Cro,griva,Cro
16,31,5,1,Cro,ubojica,fill
16,458,2,1,Eng,roaming,no
16,443,7,1,Cro,mjesec,fill
16,566,8,1,Cro,pretisak,fill
16,315,7,1,Cro,učenik,fill
16,28,9,1,Cro,otpad,fill
16,41,2,1,Eng,outfit,no
16,57,9,1,Cro,zlato,fill
16,151,11,1,Eng,silver,yes
16,28,11,1,Eng,cinema,yes
16,400,2,1,Eng,catering,no
16,122,6,1,Cro,izvješće,fill
16,287,2,1,Eng,selfie,no
16,1,7,1,Cro,nagrada,fill
16,252,9,1,Cro,kamion,fill
16,68,11,1,Eng,music,yes
16,224,8,1,Cro,gojaznost,fill
16,137,9,1,Cro,ubojstvo,fill
16,4,4,1,Cro,upaljač,fill
16,315,9,1,Cro,kuhinja,fill
16,211,9,1,Cro,dućan,fill
16,224,9,1,Cro,torba,fill
16,177,11,1,Eng,button,yes
16,165,9,1,Cro,spavanje,fill
16,233,2,1,Eng,hashtag,no
16,205,9,1,Cro,ključ,fill
16,213,4,1,Cro,zadah,fill
16,403,5,1,Cro,vojnik,fill
16,434,11,1,Eng,grill,yes
16,380,8,1,Cro,gležnjača,fill
16,46,9,1,Cro,pošta,fill
16,24,6,1,Cro,imovina,fill
16,299,11,1,Eng,stage,yes
16,288,8,1,Cro,klizačica,fill
16,288,9,1,Cro,rođendan,fill
16,261,5,1,Cro,sudac,fill
16,221,2,1,Eng,software,no
16,346,8,1,Cro,podvezica,fill
16,273,9,0,Cro,živac,fill
16,293,6,1,Cro,kazalište,fill
16,261,9,1,Cro,pojas,fill
16,170,7,1,Cro,mišljenje,fill
16,170,6,1,Cro,poziv,fill
16,352,3,0,Cro,mravinjak,Cro
16,17,5,1,Cro,putnik,fill
16,272,3,1,Cro,čekić,Cro
16,439,6,1,Cro,prozor,fill
16,143,5,1,Cro,suprug,fill
16,200,5,1,Cro,dečko,fill
16,278,6,1,Cro,roman,fill
16,539,7,1,Cro,majka,fill
16,277,3,1,Cro,brodolom,Cro
16,383,7,1,Cro,voda,fill
16,231,7,1,Cro,stoljeće,fill
16,648,9,1,Cro,postaja,fill
16,191,4,0,Cro,doušnik,fill
16,212,4,0,Cro,tjesnac,fill
16,536,8,0,Cro,stjenica,fill
16,722,7,1,Cro,bolest,fill
16,273,3,1,Cro,straža,Cro
16,405,9,0,Cro,uzorak,fill
16,5,3,1,Cro,motika,Cro
16,225,3,1,Cro,dugme,Cro
16,321,2,1,Eng,smoothie,no
16,115,9,1,Cro,stolica,fill
16,212,9,1,Cro,obavijest,fill
16,241,6,1,Cro,izmjena,fill
16,675,3,1,Cro,toljaga,Cro
16,498,3,1,Cro,ukosnica,Cro
16,283,4,1,Cro,krvnik,fill
16,109,5,1,Cro,ptica,fill
16,290,9,1,Cro,potraga,fill
16,211,5,1,Cro,pobjednik,fill
16,72,3,1,Cro,sumrak,Cro
16,64,11,1,Eng,browser,yes
16,202,8,0,Cro,batrljak,fill
16,53,11,1,Eng,family,yes
16,314,9,1,Cro,požar,fill
16,68,8,1,Cro,kiparica,fill
16,235,11,1,Eng,gadget,yes
16,129,11,1,Eng,freak,yes
16,224,4,1,Cro,tobogan,fill
16,189,7,1,Cro,izvor,fill
16,152,2,1,Eng,muffin,no
16,573,4,1,Cro,bušilica,fill
16,237,4,0,Cro,madež,fill
16,149,6,1,Cro,obala,fill
16,163,8,1,Cro,tronožac,fill
16,254,5,1,Cro,seljak,fill
16,26,6,1,Cro,kazna,fill
16,16,2,1,Eng,styling,no
16,479,9,0,Cro,rijeka,fill
16,281,4,1,Cro,grofica,fill
16,159,8,0,Cro,odvijač,fill
16,121,2,1,Eng,router,no
16,724,6,0,Cro,volja,fill
16,374,4,1,Cro,vjetrovka,fill
16,455,9,0,Cro,proljeće,fill
16,201,2,1,Eng,wellness,no
16,131,9,1,Cro,učenje,fill
16,134,6,1,Cro,prijava,fill
16,54,6,1,Cro,sastanak,fill
16,14,9,1,Cro,gorivo,fill
16,20,11,1,Eng,gamer,yes
16,376,11,1,Eng,garden,yes
16,184,9,1,Cro,postrojba,fill
16,192,9,0,Cro,plaža,fill
16,186,2,1,Eng,catwalk,no
16,56,2,1,Eng,developer,no
16,123,7,1,Cro,knjiga,fill
16,336,3,1,Cro,umorstvo,Cro
16,196,9,0,Cro,vrtić,fill
16,244,7,0,Cro,borba,fill
16,118,9,0,Cro,trudnoća,fill
16,93,7,1,Cro,radnik,fill
16,932,9,1,Cro,rečenica,fill
16,550,5,1,Cro,glumica,fill
16,334,3,1,Cro,naslonjač,Cro
16,117,9,1,Cro,posada,fill
16,224,7,1,Cro,cijena,fill
16,150,2,1,Eng,banner,no
16,166,6,1,Cro,okvir,fill
16,635,9,0,Cro,oluja,fill
16,91,3,1,Cro,golubica,Cro
16,242,8,1,Cro,škrtost,fill
16,192,8,1,Cro,rupčić,fill
16,307,8,1,Cro,čaplja,fill
16,138,8,0,Cro,pospanac,fill
16,197,3,1,Cro,kabanica,Cro
16,449,4,0,Cro,vidra,fill
16,1007,3,0,Cro,zagrljaj,Cro
16,298,6,1,Cro,povratak,fill
16,180,4,1,Cro,siroče,fill
16,201,11,0,Eng,winter,yes
16,159,3,1,Cro,zvečka,Cro
16,438,11,0,Eng,cherry,yes
16,106,4,1,Cro,nosorog,fill
16,99,3,1,Cro,cvrčak,Cro
16,391,9,1,Cro,pozornica,fill
16,529,4,0,Cro,kamenica,fill
16,198,4,1,Cro,vepar,fill
16,431,11,0,Eng,night,yes
16,192,9,0,Cro,jezero,fill
16,196,11,0,Eng,nature,yes
16,18,8,1,Cro,svodnik,fill
16,941,6,0,Cro,pokret,fill
16,1547,2,1,Eng,firewall,no
16,199,11,1,Eng,brand,yes
16,246,5,1,Cro,mačka,fill
16,350,9,1,Cro,izlet,fill
16,192,7,1,Cro,muškarac,fill
16,922,2,1,Eng,firmware,no
16,341,9,1,Cro,lanac,fill
16,414,3,1,Cro,vrućica,Cro
16,398,9,1,Cro,ovisnost,fill
16,188,7,1,Cro,zaštita,fill
16,141,2,1,Eng,inbox,no
16,178,7,1,Cro,tvrtka,fill
16,122,2,1,Eng,evergreen,no
16,373,9,1,Cro,autocesta,fill
16,339,5,1,Cro,trgovac,fill
16,172,11,1,Eng,research,yes
16,253,6,0,Cro,lopta,fill
16,510,11,1,Eng,party,yes
16,354,3,1,Cro,ubrus,Cro
16,1272,11,1,Eng,spice,yes
16,360,5,1,Cro,odvjetnik,fill
16,534,8,1,Cro,čuperak,fill
16,869,5,1,Cro,umjetnik,fill
16,198,5,1,Cro,djevojka,fill
16,173,6,0,Cro,sunce,fill
16,163,7,0,Cro,tijelo,fill
16,436,8,1,Cro,drvosječa,fill
16,175,9,1,Cro,vojska,fill
16,204,5,1,Cro,biljka,fill
16,159,5,1,Cro,pisac,fill
16,329,2,1,Eng,hattrick,no
16,315,5,0,Cro,krava,fill
16,274,9,1,Cro,gotovina,fill
16,194,5,1,Cro,kralj,fill
16,850,4,0,Cro,vrtlar,fill
16,296,9,1,Cro,stablo,fill
16,147,8,1,Cro,bivol,fill
16,491,4,1,Cro,nesanica,fill
16,107,6,1,Cro,ozljeda,fill
16,461,9,1,Cro,kotač,fill
16,193,7,1,Cro,država,fill
16,1798,7,0,Cro,vijeće,fill
16,221,6,1,Cro,greška,fill
16,652,2,1,Eng,jackpot,no
16,140,3,1,Cro,bilježnik,Cro
16,179,4,1,Cro,sprovod,fill
16,379,4,1,Cro,strijela,fill
16,307,8,0,Cro,tamničar,fill
16,395,4,1,Cro,slagalica,fill
16,530,8,1,Cro,lasica,fill
16,242,6,1,Cro,tvornica,fill
16,178,2,1,Eng,backup,no
16,197,5,1,Cro,kraljica,fill
16,225,3,1,Cro,gusjenica,Cro
16,418,8,0,Cro,skorbut,fill
16,237,6,1,Cro,nogomet,fill
16,211,9,1,Cro,bolnica,fill
16,212,11,1,Eng,company,yes
16,248,8,1,Cro,jarebica,fill
16,457,6,1,Cro,ljeto,fill
16,362,9,1,Cro,trgovina,fill
16,590,5,1,Cro,ovisnik,fill
16,390,9,1,Cro,šećer,fill
16,252,3,1,Cro,štaka,Cro
16,386,9,0,Cro,večera,fill
16,319,7,1,Cro,općina,fill
16,76,7,1,Cro,plaća,fill
16,342,4,1,Cro,gubitnik,fill
16,24,6,1,Cro,radionica,fill
16,185,11,0,Eng,street,yes
16,259,9,0,Cro,planina,fill
16,425,9,1,Cro,haljina,fill
16,261,2,1,Eng,casting,no
16,660,7,1,Cro,razvoj,fill
16,332,3,1,Cro,vidra,Cro
16,44,2,1,Eng,snowboard,no
16,257,5,1,Cro,slikar,fill
16,259,2,0,Eng,curry,no
16,370,11,1,Eng,store,yes
16,221,6,0,Cro,računalo,fill
16,246,4,1,Cro,rokovnik,fill
16,175,7,1,Cro,vlasnik,fill
16,30,3,1,Cro,zaporka,Cro
16,273,9,1,Cro,majica,fill
16,585,5,1,Cro,prvak,fill
16,220,9,1,Cro,sloboda,fill
16,278,4,1,Cro,otirač,fill
